humid,temp,press,gas,tvoc,altitude,eCO2,H2,quality
59.53,27.67,1010.61,59.576,22.04,22.04,22.04,22.04,good
59.61,27.66,1010.61,59.785,22.03,22.03,22.03,22.03,good
59.58,27.66,1010.59,59.869,22.14,22.14,22.14,22.14,good
59.59,27.65,1010.61,59.701,21.99,21.99,21.99,21.99,good
59.63,27.65,1010.61,60.037,22.02,22.02,22.02,22.02,good
59.63,27.64,1010.61,59.41,21.97,21.97,21.97,21.97,good
59.65,27.64,1010.6,59.618,22.06,22.06,22.06,22.06,good
59.69,27.64,1010.61,59.701,21.99,21.99,21.99,21.99,good
59.67,27.63,1010.62,59.451,21.88,21.88,21.88,21.88,good
59.65,27.63,1010.62,59.953,21.93,21.93,21.93,21.93,good
59.64,27.63,1010.61,59.451,21.99,21.99,21.99,21.99,good
59.66,27.63,1010.62,59.327,21.95,21.95,21.95,21.95,good
59.64,27.62,1010.62,59.41,21.95,21.95,21.95,21.95,good
59.66,27.62,1010.61,59.286,22,22,22,22,good
59.69,27.62,1010.6,59.618,22.1,22.1,22.1,22.1,good
59.7,27.61,1010.6,59.245,22.1,22.1,22.1,22.1,good
59.74,27.61,1010.59,59.04,22.13,22.13,22.13,22.13,good
59.85,27.61,1010.59,59.41,22.13,22.13,22.13,22.13,good
59.89,27.61,1010.59,59.081,22.2,22.2,22.2,22.2,good
59.88,27.61,1010.6,58.999,22.09,22.09,22.09,22.09,good
59.84,27.61,1010.59,58.999,22.17,22.17,22.17,22.17,good
59.82,27.62,1010.59,59.04,22.19,22.19,22.19,22.19,good
59.8,27.62,1010.59,58.959,22.18,22.18,22.18,22.18,good
59.74,27.63,1010.58,59.081,22.21,22.21,22.21,22.21,good
59.7,27.63,1010.59,58.918,22.21,22.21,22.21,22.21,good
59.63,27.64,1010.59,59.122,22.21,22.21,22.21,22.21,good
59.63,27.64,1010.59,58.999,22.17,22.17,22.17,22.17,good
59.67,27.65,1010.58,59.081,22.27,22.27,22.27,22.27,good
59.74,27.65,1010.59,58.837,22.21,22.21,22.21,22.21,good
59.92,27.65,1010.58,58.837,22.23,22.23,22.23,22.23,good
60.07,27.66,1010.59,58.675,22.15,22.15,22.15,22.15,good
60.12,27.67,1010.59,58.354,22.2,22.2,22.2,22.2,good
60.19,27.68,1010.58,58.394,22.23,22.23,22.23,22.23,good
